"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"0";"R-US_0207/10";"0207/10";"R4, R5, R10, R13";"RESISTOR, American symbol";"";
"23";"0.1uF";"C-US100";"C100";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C22, C23, C24, C25";"";"";
"1";"10k";"R-US_0207/10";"0207/10";"R2";"RESISTOR, American symbol";"";
"1";"10nF";"C-US050-024X044";"C050-024X044";"C29";"CAPACITOR, American symbol";"";
"1";"10nF";"C-US100";"C100";"C28";"";"";
"3";"2.2k";"R-US_0207/10";"0207/10";"R11, R12, R14";"RESISTOR, American symbol";"";
"1";"21.47727MHz";"CRYSTAL";"HC-49US";"Y2";"";"";
"3";"220uF";"CPOL-USE2.5-7";"E2,5-7";"C37, C38, C39";"POLARIZED CAPACITOR, American symbol";"";
"2";"22pF";"C-US100";"C100";"C20, C21";"";"";
"1";"240";"R-US_0207/10";"0207/10";"R19";"RESISTOR, American symbol";"";
"1";"28pF";"C-US100";"C100";"C30";"";"";
"1";"3.32k/1%";"R-US_0207/10";"0207/10";"R15";"RESISTOR, American symbol";"";
"3";"3.3k";"R-US_0207/10";"0207/10";"R1, R3, R6";"RESISTOR, American symbol";"";
"1";"3.3k";"RN8";"SIL9";"RN1";"";"";
"6";"41464";"41464";"DIL18";"U1, U2, U3, U4, U5, U6";"";"";
"1";"43";"R-US_0207/10";"0207/10";"R18";"RESISTOR, American symbol";"";
"3";"470";"R-US_0207/10";"0207/10";"R7, R8, R9";"RESISTOR, American symbol";"";
"1";"470uF";"CPOL-US-10-5";"C-10-5";"C34";"";"";
"1";"47pF";"C-US100";"C100";"C27";"";"";
"5";"47uF";"CPOL-USE2.5-6";"E2,5-6";"C31, C32, C33, C35, C36";"POLARIZED CAPACITOR, American symbol";"";
"1";"5MHz";"OSC-OE";"DIL08S";"Y1";"";"";
"1";"5pF";"C-US100";"C100";"C26";"";"";
"1";"68uH";"L-US0207/10";"0207/10";"L1";"INDUCTOR, American symbol";"";
"1";"7404";"74LS04N";"DIL14";"U11";"Hex INVERTER";"";
"1";"74138";"74S138N";"DIL16";"U7";"3-line to 8-line DECODER/DEMULTIPLEXER";"";
"1";"7414";"74LS14N";"DIL14";"U10";"Hex schmitt trigger INVERTER";"";
"2";"74244";"74LS244N";"DIL20";"U12, U15";"Octal BUFFER and LINE DRIVER, 3-state";"";
"1";"74245";"74LS245N";"DIL20";"U16";"Octal BUS TRANSCEIVER, 3-state";"";
"1";"7432";"74LS32N";"DIL14";"U13";"Quad 2-input OR gate";"";
"1";"74373";"74LS373N";"DIL20";"U8";"Octal D type transparent LATCH, edge triggered";"";
"1";"74574";"74HC574N";"DIL20";"U14";"8-bit D type FLIP FLOP bus driver";"";
"1";"7474";"74LS74N";"DIL14";"U9";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";
"2";"75";"R-US_0207/10";"0207/10";"R16, R17";"RESISTOR, American symbol";"";
"1";"CXA2075";"CXA2075";"SOP-24";"U18";"";"";
"1";"MINI-DIN4";"MINI-DIN4";"MINI-DIN4";"J2";"";"";
"2";"PINHD-1X2THRU";"PINHD-1X2THRU";"1X02";"JP1, JP2";"";"";
"1";"PINHD-1X8";"PINHD-1X8";"1X08";"J5";"";"";
"1";"PINHD-2X6";"PINHD-2X6";"2X06";"J4";"";"";
"1";"PINHD1X3";"PINHD1X3";"1X03";"J3";"";"";
"1";"PINHD1X3THRU";"PINHD1X3THRU";"1X03";"JP3";"";"";
"1";"PJRAN1XU04AUX";"PJRAN1";"PJRAN1";"J1";"";"";
"1";"V9958";"V9958";"SDIP64";"U17";"";"";
"2";"VN2106";"VN2106";"TO92";"Q1, Q2";"";"";
"1";"XMICRO-BUS-EDGE62M";"XMICRO-BUS-EDGE62M";"EDGE62M";"CE1";"";"";
